iter	Passed	Remaining
0	104	5199211	129	32222	2	142	23633	138	1717544	160	1585255	189	1560966	205	1445977	227	1400688	260	14212
9	284	13940
10	307	13680
11	321	13088
12	348	13070
13	369	12823
14	394	12756
15	409	12383
16	428	12162
17	445	11941
18	465	11788
19	481	11553
20	501	11447
2121	634	13782222	662	13742323	674	13372424	698	13262525	717	13072626	746	13082727	774	13053
28	790	12842929	809	12673030	824	124731	734	10742
3232	868	12283333	883	12103434	905	12023535	927	11960
36	947	11863737	966	11743838	986	11665
39	1009	11609
40	1036	11605
41	1051	11461
42	1071	11382
43	1098	11388
44	1137	11500
45	1162	11477
46	1178	11360
47	1192	11232
48	1213	11166
49	1237	11135
50	1259	11085
51	1282	11050
52	1304	11006
53	1328	10971
54	1351	10935
55	1387	10998
56	1413	10983
57	1437	10954
58	1451	10848
59	1465	10746
60	1492	10741
61	1509	10662
62	1527	10598
63	1555	10596
64	1568	10495
65	1602	10540
66	1628	10523
67	1642	10432
68	1657	10355769	1684	10345
70	1703	10290
71	1719	10220
72	1755	10268
73	1769	10185
74	1784	10114
75	1813	10116
76	1828	10046
77	1849	10006
78	1869	9963
79	1885	9898
80	1905	9856
81	1923	9806
82	1945	9775
83	1970	9759
84	1994	9735
85	2013	9693
86	2030	9636
87	2047	9583
88	2060	9513
89	2083	9490
90	2098	9432
91	2119	9400
92	2146	9394
93	2171	9380
94	2191	9344
95	2203	9272
96	2218	9216
97	2233	9162
98	2246	9100
99	2257	9028
100	2264	8946
101	2272	8867
102	2282	8796
103	2291	8726
104	2300	8654
105	2309	8586
106	2318	8516
107	2327	8446
108	2335	8378
109	2344	8312
110	2353	8248
111	2363	8189
112	2373	8127
113	2382	8065
114	2390	8003
115	2399	7944
116	2408	7883
117	2418	7829
118	2426	7768
119	2435	7713
120	2445	7658
121	2455	7607
122	2462	7548
123	2471	7492
124	2479	7438
125	2488	7385
126	2495	7330
127	2504	7278
128	2513	7228
129	2521	7177
130	2530	7128
131	2538	7076
132	2545	7025
133	2554	6976
134	2562	140	2135	2570	141	2136	2579	142	2137	2588	143	2138	2597	144	2139	2604	145	2140	2612	146	2141	2619	147	2142	2626	148	2513	5921
149	2144	2643	150	2145	2653	151	2146	2662	152	2147	2671	153	2148	2681	154	2149	2689	155	2150	2697	156	2151	2706	157	2152	2715	158	2153	2723	159	2154	2732	160	2155	2741	161	2156	2749	162	2157	2758	163	2158	2767	164	2159	2775	165	2160	2784	166	2161	2794	167	2162	2803	168	2163	2811	169	2164	2820	170	2708	5211
171	2166	2839	172	2167	2849	173	2168	2857	174	2169	2865	175	2170	2874	176	2171	2883	177	2770	5011
178	2779	4984
179	2789	4959
180	2799	4933
181	2808	4907
182	2817	4879
183	2825	4852
184	2834	4825
185	2842	4798
186	2853	4775
187	2864	4753
188	2871	4724
189	2880	4699
190	2888	4673
191	2896	4647
192	2905	4621
193	2913	4596
194	2922	4570
195	2930	4545
196	2939	4521
197	2948	4497
198	2956	4471
199	2965	4448
200	2974	4425
201	2983	4400
202	2993	4379
203	3003	4358
204	3011	4334
205	3021	4312
206	3030	4289
207	3040	4267
208	3047	4243
209	3055	4220
210	3063	4195
211	3070	4171
212	3080	4151
213	3089	4129
214	3098	4107
215	3107	4085
216	3115	4063
217	3123	4040
218	3132	4019
219	3142	4000
220	3152	3980
221	3160	3958
222	3169	3937
223	3177	3914
224	3184	3892
225	3192	3871
226	3201	3850
227	3209	3828
228	3223	3338	229	3223	3784
230	3232	3764
231	3242	3745
232	3250	3724
233	3258	3704
234	3267	3684
235	3275	3664
236	3231	3406	237	3232	3415	238	3302	3606
239	3311	3587
240	3319	3567
241	3327	3547
242	3337	3529
243	3345	3510
244	3354	3491
245	3362	3471
246	3371	3453
247	3242	3502	248	3391	3418
249	3400	3400
250	3410	3383
251	3418	3364
252	3427	3345
253	3435	3327
254	3443	3308
255	3454	3292
256	3463	3274
257	3472	3256
258	3481	3239
259	3490	3221
260	3499	3204
261	3508	3187
262	3519	3171
263	3529	3154
264	3540	3139
265	3551	3123
266	3560	3107
267	3572	3092
268	3582	3076
269	3591	3059
270	3601	3043
271	3610	3026
272	3618	3008
273	3627	2992
274	3636	2975
275	3645	2958
276	3652	2940
277	3659	2922
278	3667	2905
279	3677	2889
280	3686	2873
281	3694	2856
282	3703	2840
283	3712	2823
284	3720	2806
285	3728	2790
286	3737	2774
287	3748	2758
288	3757	2743
289	3766	2727
290	3775	2711
291	3785	2696
292	3793	2679
293	3801	2663
294	3808	2646
295	3818	2631
296	3825	2614
297	3833	2598
298	3841	2582
299	3848	2565
300	3857	2550
301	3866	2534
302	3874	2519
303	3882	2503
304	3893	2488
305	3901	2473
306	3912	2459
307	3921	2444
308	3930	2429
309	3938	2413
310	3945	2397
311	3954	2383
312	3963	2367
313	3971	2352
314	3979	2337
315	3310	4110	316	3311	4119	317	4312	4128	318	4313	4137	319	4314	4145	320	4315	4155	321	4316	4163	322	4317	4171	323	4318	4179	324	4066	2189
325	4075	2175
326	4083	2160
327	4092	2145
328	4099	2130
329	4108	2116
330	4115	2101
331	4126	2088
332	4137	2074
333	4147	2061
334	4156	2047
335	4165	2033
336	4172	2018
337	4179	2003
338	4188	1989
339	4196	1974
340	4203	1960
341	4210	1945
342	4218	1931
343	4227	1917
344	4235	1903
345	4243	1888
346	4251	1874
347	4258	1860
348	4267	1846
349	4275	1832
350	4284	1818
351	4294	1805
352	4303	1792
353	4311	1778
354	4318	1763
355	4326	1749
356	4333	1735
357	4341	1722
358	4349	1708
359	4357	1694
360	4364	1680
361	4372	1666
362	4380	1653
363	4388	1639
364	4397	1626
365	4405	1612
366	4412	1598
367	4419	1585
368	4426	1571
369	4434	1557
370	4442	1544
371	4450	1531
372	4458	1517
373	4465	1504
374	4472	1490
375	4480	1477
376	4490	1464
377	4497	1451
378	4505	1438
379	4512	1425
380	4520	1411
381	4528	1398
382	4536	1385
383	4544	1372
384	4552	1359
385	4561	1347
386	4568	1334
387	4576	1321
388	4583	1307
389	4590	1294
390	4598	1281
391	4607	1269
392	4615	1256
393	4622	1243
394	4630	1230
395	4637	1218
396	4646	1205
397	4654	1192
398	4661	1180
399	4670	1167
400	4677	1154
401	4685	1142
402	4694	1129
403	4702	1117
404	4710	1104
405	4718	1092
406	4726	1079
407	4734	1067
408	4742	1055
409	4749	1042
410	4758	1030
411	4766	1018
412	4774	1005
413	4782	993
414	4790	981
415	4798	968
416	4808	957
417	4817	945
418	4827	933
419	4838	921
420	4849	909
421	4857	897
422	4864	885
423	4872	873
424	4880	861
425	4887	849
426	4895	836
427	4902	824
428	4911	812
429	4919	800
430	4927	788
431	4934	776
432	4942	764
433	4950	752
434	4957	740
435	4966	728
436	4973	717
437	4981	705
438	4990	693
439	4998	681
440	5006	669
441	5014	658
442	5023	646
443	5030	634
444	5038	622
445	5046	611
446	5054	599
447	5063	587
448	5070	575
449	5077	564
450	5085	552
451	5093	540
452	5101	529
453	5110	517
454	5119	506
455	5128	494
456	5137	483
457	5144	471
458	5153	460
459	5162	448
460	5170	437
461	5177	425
462	5184	414
463	5190	402
464	5196	391
465	5201	379
466	5207	367
467	5212	356
468	5218	344
469	5223	333
470	5228	321
471	5233	310
472	5238	299
473	5244	287
474	5249	276
475	5255	264
476	5260	253
477	5265	242
478	5271	231
479	5276	219
480	5282	208
481	5287	197
482	5293	186
483	5299	175
484	5304	164
485	5309	152
486	5314	141
487	5319	130
488	5324	119
489	5330	108
490	5336	97
491	5341	86
492	5346	75
493	5352	65
494	5357	54
495	5362	43
496	5367	32
497	5372	21
498	5376	10
499	5381	0
44	66
494	5449	55
495	5454	43
496	5460	32
497	5465	21
498	5470	10
499	5476	0
